                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78034,                0.68519,                0.97934,                0.99683,                      1,                  0.995,                0.73204,                0.95723,                0.62251,                 1.0412,              0.0013466,              0.0013466,              0.0013466
                     36,                0.82272,                0.72246,                0.96251,                0.99683,                      1,                  0.995,                0.72828,                0.99779,                0.64533,                 1.0562,              0.0013268,              0.0013268,              0.0013268
                     37,                 0.7831,                0.66415,                0.96134,                0.98696,                      1,                  0.995,                0.71669,                 1.0617,                0.63903,                 1.0768,               0.001307,               0.001307,               0.001307
                     38,                0.80638,                0.64305,                0.97132,                0.97186,                      1,                0.97548,                 0.7138,                0.96599,                0.59313,                 1.0284,              0.0012872,              0.0012872,              0.0012872
                     39,                0.81212,                0.64235,                0.96375,                0.97286,                      1,                 0.9731,                0.70847,                 1.0006,                0.59458,                 1.0242,              0.0012674,              0.0012674,              0.0012674
                     40,                 0.7499,                0.63892,                0.95203,                0.97605,                0.99422,                0.99333,                0.67166,                 1.0978,                0.61152,                 1.1327,              0.0012476,              0.0012476,              0.0012476
                     41,                0.80352,                0.62274,                 0.9595,                      1,                0.94964,                0.99315,                 0.6788,                 1.1105,                0.65106,                 1.1195,              0.0012278,              0.0012278,              0.0012278
                     42,                0.75161,                0.63898,                0.94048,                0.97398,                0.97561,                0.98623,                0.68455,                 1.0003,                0.62169,                 1.0705,               0.001208,               0.001208,               0.001208
                     43,                0.71977,                0.60259,                0.93178,                0.98833,                0.95122,                0.97855,                0.69532,                 1.0099,                0.64889,                 1.0833,              0.0011882,              0.0011882,              0.0011882
                     44,                0.75644,                0.59154,                0.98157,                      1,                0.96723,                0.98762,                0.71503,                 1.0367,                 0.5763,                 1.0454,              0.0011684,              0.0011684,              0.0011684
                     45,                0.77489,                0.58813,                0.97283,                0.99298,                0.97561,                0.98252,                0.73438,                0.85459,                 0.5683,                0.97914,              0.0011486,              0.0011486,              0.0011486
                     46,                0.72017,                0.58612,                0.95383,                0.99739,                0.97561,                0.99245,                 0.7275,                0.93632,                0.51932,                 1.0174,              0.0011288,              0.0011288,              0.0011288
                     47,                0.73716,                0.57399,                0.93588,                      1,                0.95056,                0.99452,                0.69674,                 1.0987,                 0.5768,                 1.0645,               0.001109,               0.001109,               0.001109
                     48,                 0.7662,                0.58365,                0.95761,                0.99683,                0.97561,                0.99452,                0.72522,                0.99032,                0.57242,                 1.0326,              0.0010892,              0.0010892,              0.0010892
